label,text
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON NOW. calls cost 60p/min. 18+ only.
ham,I think I left my phone charger at your place.
ham,Mom wants to know if you're coming for dinner on Sunday.
ham,The budget was approved! We're good to go.
spam,"Hi babe its Chloe, I had a fight with my boyfriend :( ring me now on 09096102316 I need to talk!"
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,I'm going to try for 2 months ha ha only joking
ham,Got stuck in traffic. ETA now 7:30.
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,Just got promoted! Can't believe it!
spam,100 dating service cal;s 09064012103 box334sk38ch
ham,Can you feed the cat while I'm away this weekend?
ham,"Yes, I'm free Saturday. What time should I come over?"
ham,Had your mobile for 12 months?
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,Your subscription to Ringtone Nation has been accepted. 3 tones/wk £5/wk. Unsubscribe? STOP to 60111
spam,"URGENT! Your Mobile No 07808726822 was awarded a L2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
spam,PRIVATE! Your 2003 Account Statement for 07808726822 shows 800 un-redeemed S.I.M. points. Call 08715203656 Cause U R Entitled! See www.pointsoffer.com
ham,Let me know when you're free and we'll plan something.
spam,Lose up to 20lbs in just 3 weeks! Amazingly effective slimming pills. Call now 0800 915 2512.
ham,I'll be working from home today if you need to reach me.
spam,"Do you want a new video mobile? O2 has the best deals, you get FREE texts with it. To stop this service send STOP to 87070"
spam,U have a secret admirer who is looking 4 U! Txt BACK to 50505 to find out their name! costs 150p per msg
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,Is that seriously how you spell his name?
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/game 16+ 150p/4 mths"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
